Movie Title,Release Date,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
10 Cloverfield Lane,08-03-2016,Thriller,Dan Trachtenberg,,Mary Elizabeth Winstead,John Goodman,John Gallagher,,,$15000000,"$108,300,000.00"
13 Hours: The Secret Soldiers of Benghazi,15-01-2016,Action,Michael Bay,,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,$45000000,"$69,400,000.00"
2 Guns,02-08-2013,Action,Baltasar KormÃ¡kur,,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,$61000000,"$131,900,000.00"
21 Jump Street,16-03-2012,Comedy,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,"$55,000,000.00","$201,500,000.00"
22 Jump Street,04-06-2014,Action,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,,,"$84,500,000.00","$331,300,000.00"
300: Rise of an Empire,04-03-2014,Action,Noam Murro,,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,"$110,000,000.00","$337,600,000.00"
42,12-04-2013,Biography,Brian Helgeland,,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,"$40,000,000.00","$97,500,000.00"
71,07-02-2014,Action,Yann Demange,,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,,"$8,100,000.00","$2,900,000.00"
90 Minutes in Heaven,11-09-2015,Drama,Michael Polish,,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,,"$5,000,000.00","$4,800,000.00"
A Good Day to Die Hard,14-02-2013,Action,John Moore,,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje BukviÄ‡,"$92,000,000.00","$304,700,000.00"
A Haunted House,11-01-2013,Comedy,Michael Tiddes,,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,"$2,500,000.00","$60,100,000.00"
A Haunted House 2,18-04-2014,Comedy,Michael Tiddes,,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,"$4,000,000.00","$24,000,000.00"
A Long Way Down,10-02-2014,Comedy,Pascal Chaumeil,,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,,"$22,700,000.00","$7,100,000.00"
A Most Violent Year,06-11-2014,Action,J. C. Chandor,,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,"$20,000,000.00","$12,000,000.00"
A Most Wanted Man,19-01-2014,Thriller,Anton Corbijn,,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,"$15,000,000.00","$36,200,000.00"
A Thousand Words,09-03-2012,Comedy,Brian Robbins,,Eddie Murphy,Kerry Washington,Cliff Curtis,Clark Duke,Allison Janney,"$40,000,000.00","$22,000,000.00"
A Walk Among the Tombstones,19-09-2014,Crime,Scott Frank,,Liam Neeson,Dan Stevens,Ruth Wilson,Boyd Holbrook,,"$28,000,000.00","$58,800,000.00"
A Walk in the Woods,23-01-2015,Adventure,Ken Kwapis,,Robert Redford,Nick Nolte,Emma Thompson,,,"$8,000,000.00","$36,000,000.00"
Abraham Lincoln: Vampire Hunter,22-06-2012,Horror,Timur Bekmambetov,,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,"$99,500,000.00","$116,400,000.00"
After Earth,31-05-2013,Sci-Fi,M. Night Shyamalan,,Jaden Smith,Will Smith,Isabelle Fuhrman,Zoe Kravitz,,"$130,000,000.00","$243,800,000.00"
Ain't Them Bodies Saints,16-08-2013,Drama,David Lowery,,Casey Affleck,Rooney Mara,Ben Foster,Rami Malek,Keith Carradine,"$4,000,000.00","$1,000,000.00"
Alex Cross,19-10-2012,Crime,Rob Cohen,,Tyler Perry,Matthew Fox,Rachel Nichols,Edward Burns,Jean Reno,"$35,000,000.00","$34,600,000.00"
Aloha,27-05-2015,Romance,Cameron Crowe,,Bradley Cooper,Emma Stone,Alec Baldwin,Rachel McAdams,Bill Murray,"$52,000,000.00","$26,300,000.00"
Alvin and the Chipmunks: The Road Chip,18-12-2015,Comedy,Walt Becker,,Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,"$90,000,000.00","$234,800,000.00"
American Reunion,06-04-2012,Comedy,Jon Hurwitz,,Alyson Hannigan,Seann William Scott,Tara Reid,Jason Biggs,Eugene Levy,"$50,000,000.00","$235,000,000.00"
American Sniper,11-11-2014,Drama,Clint Eastwood,,Bradley Cooper,Sienna Miller,Max Charles,Luke Grimes,,"$58,800,000.00","$547,400,000.00"
American Ultra,21-08-2015,Action,Nima Nourizadeh,,Jesse Eisenberg,Kristen Stewart,Connie Britton,Topher Grace,John Leguizamo,"$28,000,000.00","$27,100,000.00"
Amy,16-06-2015,Biography,Asif Kapadia,,Amy Winehouse,Mitchell Winehouse,Janis Winehouse,Raye Cosbert,Nick Shymansky,"$3,400,000.00","$22,000,000.00"
Annabelle,26-09-2014,Horror,John R. Leonetti,,Annabelle Wallis,Alfre Woodard,Eric Ladin,Brian Howe,,"$6,500,000.00","$256,900,000.00"
Annie,07-12-2014,Comedy,Will Gluck,,QuvenzhanÃ© Wallis,Jamie Foxx,Cameron Diaz,Rose Byrne,Bobby Cannavale,"$65,000,000.00","$133,800,000.00"
Ant-Man,29-06-2015,Action,Peyton Reed,,Paul Rudd,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael PeÃ±a,"$130,000,000.00","$519,400,000.00"
Argo,12-10-2012,Drama,Ben Affleck,,Ben Affleck,John Goodman,Alan Arkin,Bryan Cranston,Victor Garber,"$44,500,000.00","$232,300,000.00"
"As Above, So Below",29-08-2014,Horror,John Erick Dowdle,,Drew Dowdle (screenplay)Perdita Weeks,Ben Feldman,Edwin Hodge,FranÃ§ois Civil,Marion Lambert,"$5,000,000.00","$5,000,000.00"
Bad Moms,29-07-2016,Comedy,Jon Lucas,Scott Moore,Mila Kunis,Christina Applegate,Kristen Bell,Jada Pinkett Smith,Kathryn Hahn,"$20,000,000.00","$124,200,000.00"
Barbershop: The Next Cut,15-04-2016,Comedy,Malcolm D. Lee,,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,"$20,000,000.00","$55,000,000.00"
Batman v Superman: Dawn of Justice,19-03-2016,Action,Zack Snyder,,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,"$250,000,000.00","$872,700,000.00"
Batman: The Killing Joke,25-07-2016,Action,Sam Liu,Bruce Timm,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,,"$3,500,000.00","$4,400,000.00"
Battle of the Year,20-09-2013,Musical,Benson Lee,,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,"$20,000,000.00","$16,500,000.00"
Battleship,18-05-2012,Action,Peter Berg,,Alexander SkarsgÃ¥rd,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,"$220,000,000.00","$303,000,000.00"
Beasts of the Southern Wild,27-06-2012,Drama,Benh Zeitlin,,QuvenzhanÃ© Wallis,Dwight Henry,,,,"$1,800,000.00","$21,900,000.00"
Beautiful Creatures,14-02-2013,Fantasy,Richard LaGravenese,,Viola Davis,Alice Englert,Emma Thompson,Emmy Rossum,Jeremy Irons,"$60,000,000.00","$60,100,000.00"
Before I Go to Sleep,04-09-2014,Mystery,Rowan JoffÃ©,,Nicole Kidman,Mark Strong,Colin Firth,Anne-Marie Duff,,"$22,000,000.00","$15,100,000.00"
Ben-Hur,19-08-2016,Adventure,Timur Bekmambetov,,Jack Huston,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Nazanin Boniadi,"$100,000,000.00","$41,400,000.00"
Beyond the Lights,06-09-2014,Romance,Gina Prince-Bythewood,,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Danny Glover,,"$7,000,000.00","$14,600,000.00"
Big Eyes,25-12-2014,Biography,Tim Burton,,Amy Adams,Christoph Waltz,Krysten Ritter,Danny Huston,Terence Stamp,"$10,000,000.00","$29,300,000.00"
Black Mass,04-09-2015,Action,Scott Cooper,,Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Sienna Miller,Dakota Johnson,"$53,000,000.00","$99,800,000.00"
Blackhat,08-01-2015,Action,Michael Mann,,Chris Hemsworth,Viola Davis,John Ortiz,Yorick van Wageningen,Tang Wei,"$70,000,000.00","$19,700,000.00"
Blended,23-05-2014,Comedy,Frank Coraci,,Adam Sandler,Drew Barrymore,Bella Thorne,Emma Fuhrmann,Terry Crews,"$40,000,000.00","$128,000,000.00"
Blue Jasmine,26-07-2013,Drama,Woody Allen,,Alec Baldwin,Cate Blanchett,Bobby Cannavale,Louis C.K.,Andrew Dice Clay,"$18,000,000.00","$97,500,000.00"
Boyhood,19-01-2014,Drama,Richard Linklater,,Ethan Hawke,Patricia Arquette,Ellar Coltrane,,,"$4,000,000.00","$44,500,000.00"
Brick Mansions,23-04-2014,Action,Camille Delamarre,,Paul Walker,David Belle,RZA,,,"$23,000,000.00","$69,000,000.00"
Bridge of Spies,04-10-2015,Drama,Steven Spielberg,,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Austin Stowell,"$40,000,000.00","$165,500,000.00"
Brooklyn,26-01-2015,Drama,John Crowley,,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,Jim Broadbent,Julie Walters,"$11,000,000.00","$62,100,000.00"
Bullet to the Head,01-02-2013,Crime,Walter Hill,,Sylvester Stallone,Sung Kang,Sarah Shahi,Adewale Akinnuoye-Agbaje,Religious Slater,"$55,000,000.00","$21,900,000.00"
Burnt,06-10-2015,Comedy,John Wells,,Bradley Cooper,Jamie Dornan,Emma Thompson,Sienna Miller,Daniel BrÃ¼hl,"$20,000,000.00","$36,600,000.00"
By the Sea,05-11-2015,Drama,Angelina Jolie,,Angelina Jolie,Brad Pitt,MÃ©lanie Laurent,Niels Arestrup,Melvil Poupaud,"$10,000,000.00","$3,300,000.00"
Captain America: The Winter Soldier,13-03-2014,Action,Anthony Russo,Joe Russo,Chris Evans,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Cobie Smulders,"$170,000,000.00","$714,400,000.00"
Captive,18-09-2015,Crime,Jerry Jameson,,David Oyelowo,Kate Mara,Michael K. Williams,Leonor Varela,Jessica Oyelowo,"$2,000,000.00","$2,800,000.00"
Carol,17-05-2015,Drama,Todd Haynes,,Cate Blanchett,Rooney Mara,Sarah Paulson,Kyle Chandler,Jake Lacy,"$11,800,000.00","$40,300,000.00"
Central Intelligence,10-06-2016,Action,Rawson Marshall Thurber,,Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,,"$50,000,000.00","$212,200,000.00"
Cesar Chavez,12-02-2014,Drama,Diego Luna,,Michael PeÃ±a,America Ferrera,Rosario Dawson,John Malkovich,,"$10,000,000.00","$6,700,000.00"
Chappie,04-03-2015,Sci-Fi,Neill Blomkamp,,Sharlto Copley,Ninja,Yolandi Visser,Dev Patel,Hugh Jackman,"$49,000,000.00","$102,100,000.00"
Chasing Mavericks,26-10-2012,Biography,Curtis Hanson,Michael Apted,Gerard Butler,Jonny Weston,Elisabeth Shue,Abigail Spencer,,"$20,000,000.00","$8,300,000.00"
Chef,07-03-2014,Comedy,Jon Favreau,,Jon Favreau,SofÃ­a Vergara,Scarlett Johansson,John Leguizamo,Robert Downey,"$11,000,000.00","$46,000,000.00"
Chernobyl Diaries,25-05-2012,Horror,Bradley Parker,,Jonathan Sadowski,Devin Kelley,Jesse McCartney,Olivia Taylor Dudley,Nathan Phillips,"$1,000,000.00","$37,200,000.00"
Child 44,17-04-2015,Drama,Daniel Espinosa,,Tom Hardy,Gary Oldman,Joel Kinnaman,Noomi Rapace,Jason Clarke,"$50,000,000.00","$13,000,000.00"
Chronicle,03-02-2012,Sci-Fi,Josh Trank,,Dane DeHaan,Michael B. Jordan,Alex Russell,Michael Kelly,,"$12,000,000.00","$126,600,000.00"
Cloud Atlas,26-10-2012,Drama,Tom Tykwer,Andy Wachowski,Tom Hanks,Jim Sturgess,David Gyasi,Jim Broadbent,Ben Whishaw,"$128,500,000.00","$130,500,000.00"
Cloudy with a Chance of Meatballs 2,27-09-2013,Family,Cody Cameron,Kris Pearn,Anna Faris,Bill Hader,Andy Samberg,Kristen Schaal,James Caan,"$78,000,000.00","$274,300,000.00"
Concussion,25-12-2015,Drama,Peter Landesman,,Will Smith,Alec Baldwin,Gugu Mbatha-Raw,Albert Brooks,Paul Reiser,"$57,000,000.00","$50,300,000.00"
Creed,25-11-2015,Drama,Ryan Coogler,,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Graham McTavish,Tony Bellew,"$40,000,000.00","$173,600,000.00"
Criminal,15-04-2016,Action,Ariel Vromen,,Kevin Costner,Gary Oldman,Tommy Lee Jones,Alice Eve,Gal Gadot,"$31,500,000.00","$35,600,000.00"
Crimson Peak,16-10-2015,Horror,Guillermo del Toro,,Mia Wasikowska,Tom Hiddleston,Charlie Hunnam,Jessica Chastain,Jim Beaver,"$55,000,000.00","$74,700,000.00"
Daddy's Home,25-12-2015,Comedy,Sean Anders,John Morris,Will Ferrell,Mark Wahlberg,Linda Cardellini,,,"$69,000,000.00","$240,400,000.00"
Danny Collins,20-03-2015,Comedy,Dan Fogelman,,Al Pacino,Annette Bening,Jennifer Garner,Bobby Cannavale,Christopher Plummer,"$10,000,000.00","$8,200,000.00"
Dark Shadows,11-05-2012,Comedy,Tim Burton,,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Eva Green,Jackie Earle Haley,"$150,000,000.00","$245,500,000.00"
Dark Skies,22-02-2013,Horror,Scott Charles Stewart,,Keri Russell,Josh Hamilton,Dakota Goyo,,,"$3,500,000.00","$26,400,000.00"
Dawn of the Planet of the Apes,26-06-2014,Action,Matt Reeves,,Andy Serkis,Gary Oldman,Jason Clarke,Kodi Smit-McPhee,Keri Russell,"$235,000,000.00","$710,600,000.00"
Dead Man Down,08-03-2013,Action,Niels Arden Oplev,,Colin Farrell,Noomi Rapace,Dominic Cooper,Terrence Howard,Wade Barrett,"$30,000,000.00","$18,100,000.00"
Deadpool,08-02-2016,Action,Tim Miller,,Ryan Reynolds,Gina Carano,T. J. Miller,Ed Skrein,Morena Baccarin,"$58,000,000.00","$782,600,000.00"
Declaration of War,27-01-2012,Romance,ValÃ©rie Donzelli,,ValÃ©rie Donzelli (director),,,,,"$1,500,000.00","$6,500,000.00"
Deliver Us from Evil,02-07-2014,Horror,Scott Derrickson,Paul Harris,Eric Bana,Ã‰dgar RamÃ­rez,Olivia Munn,Joel McHale,,"$30,000,000.00","$87,900,000.00"
Despicable Me 2,20-06-2013,Comedy,Chris Renaud,Pierre Coffin,Steve Carell,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,"$76,000,000.00","$970,800,000.00"
Devil's Due,17-01-2014,Horror,Matt Bettinelli-Olpin,Tyler Gillett,Allison Miller,Zach Gilford,Sam Anderson,Aimee Carrero,Vanessa Ray,"$7,000,000.00","$36,900,000.00"
Diary of a Wimpy Kid: Dog Days,03-08-2012,Comedy,David Bowers,,Zachary Gordon,Robert Capron,Rachael Harris,Devon Bostick,Steve Zahn,"$22,000,000.00","$77,100,000.00"
Divergent,18-03-2014,Sci-Fi,Neil Burger,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,ZoÃ« Kravitz,"$85,000,000.00","$288,900,000.00"
Django Unchained,25-12-2012,Action,Quentin Tarantino,,Christoph Waltz,Jamie Foxx,Leonardo DiCaprio,Samuel L. Jackson,Bruce Dern,"$100,000,000.00","$425,400,000.00"
Dolphin Tale 2,12-09-2014,Family,Charles Martin Smith,,Winter,Hope,Nathan Gamble,Harry Connick,Jr.,"$36,000,000.00","$57,800,000.00"
Don't Breathe,26-08-2016,Thriller,Fede Alvarez,,Dylan Minnette,Stephen Lang,Daniel Zovatto,,,"$9,900,000.00","$28,300,000.00"
Dr. Seuss' The Lorax,02-03-2012,Family,Chris Renaud,,Danny DeVito,Zac Efron,Taylor Swift,Ed Helms,Rob Riggle,"$70,000,000.00","$348,800,000.00"
Dracula Untold,10-10-2014,Drama,Gary Shore,,Luke Evans,Sarah Gadon,William Houston,Dominic Cooper,Samantha Barks,"$70,000,000.00","$217,100,000.00"
Draft Day,07-04-2014,Drama,Ivan Reitman,,Kevin Costner,Jennifer Garner,Denis Leary,Frank Langella,Tom Welling,"$25,000,000.00","$29,500,000.00"
Dragon Blade,18-02-2015,Action,Daniel Lee,,Jackie Chan,Choi Siwon,John Cusack,Adrien Brody,James Lee Guy,"$65,000,000.00","$120,000,000.00"
Dumb and Dumber To,14-11-2014,Comedy,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,,"$50,000,000.00","$169,800,000.00"
Earth to Echo,14-06-2014,Sci-Fi,Dave Green,,Astro,Teo Halm,Reese Hartwig,Ella Wahlestedt,,"$13,000,000.00","$45,300,000.00"
Eddie the Eagle,26-02-2016,Drama,Dexter Fletcher,,Taron Egerton,Christopher Walken,Hugh Jackman,,,"$23,000,000.00","$46,200,000.00"
Edge of Tomorrow,28-05-2014,Action,Doug Liman,,Tom Cruise,Emily Blunt,,,,"$178,000,000.00","$370,500,000.00"
Elysium,09-08-2013,Sci-Fi,Neill Blomkamp,,Matt Damon,Jodie Foster,Sharlto Copley,Wagner Moura,Alice Braga,"$115,000,000.00","$286,100,000.00"
Embrace of the Serpent,15-05-2015,Adventure,Ciro Guerra,,Jan Bijvoet,Nilbio Torres,Antonio BolÃ­var,,,"$1,400,000.00","$2,800,000.00"
End of Watch,21-09-2012,Action,David Ayer,,Jake Gyllenhaal,Michael PeÃ±a,Anna Kendrick,Frank Grillo,America Ferrera,"$7,000,000.00","$48,100,000.00"
Enough Said,20-09-2013,Comedy,Nicole Holofcener,,James Gandolfini,Julia Louis-Dreyfus,Toni Collette,Catherine Keener,Ben Falcone,"$8,000,000.00","$25,300,000.00"
Entourage,27-05-2015,Comedy,Doug Ellin,,Adrian Grenier,Kevin Connolly,Kevin Dillon,Jerry Ferrara,Jeremy Piven,"$39,000,000.00","$49,300,000.00"
Epic,24-05-2013,Adventure,Chris Wedge,,Colin Farrell,Josh Hutcherson,Amanda Seyfried,Jason Sudeikis,Christoph Waltz,"$93,000,000.00","$268,400,000.00"
Escape from Planet Earth,15-02-2013,Comedy,Cal Brunker,,Brendan Fraser,Rob Corddry,Jessica Alba,William Shatner,Sarah Jessica Parker,"$40,000,000.00","$74,600,000.00"
Evil Dead,05-04-2013,Horror,Fede Alvarez,,Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore,"$17,000,000.00","$97,500,000.00"
Ex Machina,21-01-2015,Sci-Fi,Alex Garland,,Domhnall Gleeson,Oscar Isaac,Alicia Vikander,,,"$15,000,000.00","$36,900,000.00"
Eye in the Sky,11-09-2015,Thriller,Gavin Hood,,Helen Mirren,Aaron Paul,Alan Rickman,Barkhad Abdi,,"$13,000,000.00","$32,800,000.00"
Fantastic Four,04-08-2015,Action,Josh Trank,,Miles Teller,Michael B. Jordan,Kate Mara,Jamie Bell,Toby Kebbell,"$120,000,000.00","$168,000,000.00"
Fast & Furious 6,17-05-2013,Action,Justin Lin,,Vin Diesel,Dwayne Johnson,Paul Walker,Michelle Rodriguez,Jordana Brewster,"$160,000,000.00","$788,700,000.00"
Flight,02-11-2012,Drama,Robert Zemeckis,,Denzel Washington,Brian Geraghty,Nadine Velazquez,Bruce Greenwood,John Goodman,"$31,000,000.00","$161,800,000.00"
Florence Foster Jenkins,27-04-2016,Biography,Stephen Frears,,Meryl Streep,Hugh Grant,Simon Helberg,Nina Arianda,Rebecca Ferguson,"$19,000,000.00","$31,700,000.00"
Frances Ha,17-05-2013,Drama,Noah Baumbach,,Greta Gerwig,Charlotte d'Amboise,Adam Driver,Grace Gummer,Patrick Heusinger,"$3,000,000.00","$11,300,000.00"
Free State of Jones,16-06-2016,Drama,Gary Ross,,Matthew McConaughey,Gugu Mbatha-Raw,Keri Russell,Mahershala Ali,,"$50,000,000.00","$21,200,000.00"
Friends with Kids,09-03-2012,Comedy,Jennifer Westfeldt,,Adam Scott,Jennifer Westfeldt,Jon Hamm,Kristen Wiig,Maya Rudolph,"$10,000,000.00","$12,200,000.00"
Fun Size,26-10-2012,Comedy,Josh Schwartz,,Victoria Justice,Jane Levy,Thomas McDonell,Thomas Mann,Chelsea Handler,"$14,000,000.00","$11,400,000.00"
Fury,15-10-2014,Action,David Ayer,,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael PeÃ±a,Jon Bernthal,"$68,000,000.00","$211,800,000.00"
G.I. Joe: Retaliation,27-03-2013,Action,Jon Chu,,Channing Tatum,Ray Park,Dwayne Johnson,Bruce Willis,Elodie Yung,"$130,000,000.00","$375,700,000.00"
Gangster Squad,11-01-2013,Action,Ruben Fleischer,,Ryan Gosling,Emma Stone,Sean Penn,Josh Brolin,Robert Patrick,"$75,000,000.00","$105,200,000.00"
Get Hard,27-03-2015,Comedy,Etan Cohen,,Will Ferrell,Kevin Hart,Alison Brie,Craig T. Nelson,T.I.,"$40,000,000.00","$111,800,000.00"
Get on Up,01-08-2014,Drama,Tate Taylor,,Chadwick Boseman,Nelsan Ellis,Brandon Mychal Smith,Jill Scott,Tika Sumpter,"$30,000,000.00","$33,400,000.00"
Getaway,30-08-2013,Action,Courtney Solomon,Yaron Levy,Ethan Hawke,Selena Gomez,Jon Voight,James Maslow,,"$18,000,000.00","$11,800,000.00"
Ghost Rider: Spirit of Vengeance,17-02-2012,Action,Mark Neveldine,Brian Taylor,Nicolas Cage,Idris Elba,Fergus Riordan,CiarÃ¡n Hinds,Violante Placido,"$57,000,000.00","$132,600,000.00"
Ghostbusters,15-07-2016,Comedy,Paul Feig,,Melissa McCarthy,Kristen Wiig,Leslie Jones,Kate McKinnon,Chris Hemsworth,"$144,000,000.00","$217,500,000.00"
God's Not Dead,21-03-2014,Religious,Harold Cronk,,Willie Robertson,David A. R. White,Shane Harper,Kevin Sorbo,Korie Robertson,"$2,000,000.00","$62,600,000.00"
God's Not Dead 2,01-04-2016,Religious,Harold Cronk,,Melissa Joan Hart,David A. R. White,Ray Wise,Robin Givens,Ernie Hudson,"$5,000,000.00","$23,500,000.00"
Gods of Egypt,25-02-2016,Action,Alex Proyas,,Geoffrey Rush,Gerard Butler,Brenton Thwaites,Courtney Eaton,Nikolaj Coster-Waldau,"$140,000,000.00","$145,700,000.00"
Godzilla,08-05-2014,Action,Gareth Edwards,,Aaron Taylor-Johnson,Ken Watanabe,Elizabeth Olsen,Bryan Cranston,Juliette Binoche,"$160,000,000.00","$529,000,000.00"
